Participant ID,Event Name,Participant ID,Date rated,Participant type,Cadre,"Please, Specify the cadre",Facility ID,Complete?,Complete?,Item 1,Item 2,Item 4,Item 5,Item 6,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Complete?
10001,1st Assessment,22010020,2024-12-05,Lay Provider,Mentor Mother,,1,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
10002,1st Assessment,22010019,2024-12-05,Lay Provider,HTS,,1,Complete,Complete,4,4,4,4,4,4,3,3,3,3,3,Complete
10003,1st Assessment,24010025,2024-12-05,Lay Provider,Nurse,,1,Complete,Complete,3,3,3,3,4,3,3,3,3,3,3,Complete
10004,1st Assessment,24010018,2024-12-09,Lay Provider,Nurse,,1,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
10005,1st Assessment,22010017,2024-12-09,Lay Provider,Mentor Mother,,1,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
10006,1st Assessment,,2024-12-09,Lay Provider,Clinical Officer,,1,Complete,Complete,4,3,4,3,3,4,3,3,4,3,3,Complete
10007,1st Assessment,24010023,2024-12-09,Lay Provider,Nurse,,1,Complete,Complete,4,4,3,3,3,3,3,3,4,3,3,Complete
10008,1st Assessment,24010021,2024-12-09,Lay Provider,Nurse,,1,Complete,Complete,3,3,3,3,3,3,3,3,3,3,3,Complete
10009,1st Assessment,24010022,2024-12-09,Lay Provider,Other,nurse incharge,1,Complete,Complete,4,3,4,3,3,3,3,3,3,3,3,Complete
10010,1st Assessment,22010016,2024-12-09,Lay Provider,HTS,,1,Complete,Complete,4,4,4,4,4,4,3,4,4,3,4,Complete
30001,1st Assessment,22030050,2024-12-04,Lay Provider,HTS,,3,Complete,Complete,3,4,4,3,3,3,4,4,4,4,3,Complete
30002,1st Assessment,22030047,2024-12-03,Lay Provider,HTS,,3,Complete,Complete,4,4,3,4,4,3,4,4,4,4,3,Complete
30003,1st Assessment,22030055,2024-12-03,Lay Provider,HTS,,3,Complete,Complete,3,4,3,3,3,4,3,3,4,3,3,Complete
30004,1st Assessment,22030053,2024-12-04,Lay Provider,Mentor Mother,,3,Complete,Complete,4,4,3,3,3,3,3,3,3,3,3,Complete
30005,1st Assessment,22030049,2024-12-04,Lay Provider,Mentor Mother,,3,Complete,Complete,3,3,3,3,3,3,3,3,4,3,3,Complete
30006,1st Assessment,22030046,2024-12-04,Lay Provider,Mentor Mother,,3,Complete,Complete,4,4,3,4,3,4,3,3,4,4,3,Complete
30007,1st Assessment,24030048,2024-12-03,Lay Provider,Nurse,,3,Complete,Complete,4,4,4,4,4,3,4,4,4,4,4,Complete
30009,1st Assessment,24030051,2024-12-03,Lay Provider,Nurse,,3,Complete,Complete,4,4,4,4,3,3,4,4,4,4,3,Complete
30010,1st Assessment,24030054,2024-12-05,Lay Provider,Nurse,,3,Complete,Complete,4,4,4,3,4,3,3,4,4,3,3,Complete
30011,1st Assessment,24030052,2024-12-05,Lay Provider,Clinical Officer,,3,Complete,Complete,4,4,4,3,4,4,4,4,4,4,3,Complete
40001,1st Assessment,24040070,2024-12-03,Lay Provider,Nurse,,4,Complete,Complete,4,4,4,3,3,3,3,4,3,4,3,Complete
40002,1st Assessment,22040063,2024-12-03,Lay Provider,HTS,,4,Complete,Complete,4,4,4,3,4,3,3,4,3,4,3,Complete
40003,1st Assessment,22040064,2024-12-05,Lay Provider,Mentor Mother,,4,Complete,Complete,3,4,4,3,3,3,4,3,3,3,3,Complete
40004,1st Assessment,22040061,2024-12-05,Lay Provider,Mentor Mother,,4,Complete,Complete,3,3,4,3,4,3,3,3,3,3,3,Complete
40005,1st Assessment,,2024-12-05,Lay Provider,Nurse,,4,Complete,Complete,4,4,4,3,3,3,3,4,3,3,4,Complete
40006,1st Assessment,24040068,2024-12-05,Lay Provider,Clinical Officer,,4,Complete,Complete,4,4,4,3,4,4,3,3,3,3,3,Complete
40007,1st Assessment,24040069,2024-12-05,Lay Provider,Clinical Officer,,4,Complete,Complete,4,4,3,4,3,3,4,3,3,3,3,Complete
40008,1st Assessment,,2024-12-03,Lay Provider,Other,lab technician ,4,Complete,Complete,3,3,3,3,3,3,3,3,3,3,4,Complete
40009,1st Assessment,24040062,2024-12-03,Lay Provider,Nurse,,4,Complete,Complete,3,3,3,3,4,3,3,4,3,3,3,Complete
40010,1st Assessment,24040067,2024-12-03,Lay Provider,Nurse,,4,Complete,Complete,3,3,3,3,3,3,3,3,3,3,4,Complete
70001,1st Assessment,24070114,2024-11-18,Lay Provider,Clinical Officer,,7,Complete,Complete,4,4,4,3,3,4,4,3,4,3,4,Complete
70002,1st Assessment,,2024-11-18,Lay Provider,HTS,,7,Complete,Complete,4,4,3,3,3,4,4,3,4,3,3,Complete
